iter	RMSE
0	1.090063996
1	1.030925007
2	0.9778793159
3	0.9325132374
4	0.8896983553
5	0.8538600992
6	0.8198597029
7	0.791500877
8	0.7684968234
9	0.7420098052
10	0.7224637271
11	0.7063686803
12	0.6876104098
13	0.6736715372
14	0.6572554562
15	0.6476310627
16	0.6352571764
17	0.623144249
18	0.6148173498
19	0.6056108686
20	0.596698507
21	0.5903688497
22	0.5831877129
23	0.5759379519
24	0.5716839118
25	0.5663194665
26	0.5628355388
27	0.558871337
28	0.5554339498
29	0.5523679095
30	0.5504189718
31	0.545955246
32	0.5442836933
33	0.5402388942
34	0.5382613621
35	0.5347858616
36	0.5320753952
37	0.530010596
38	0.528029201
39	0.5249502482
40	0.5232353059
41	0.5213552078
42	0.5198472367
43	0.518289811
44	0.5167391693
45	0.5145496596
46	0.5128310503
47	0.5114482119
48	0.5099465629
49	0.50898582
50	0.5078932559
51	0.5066806025
52	0.5049376304
53	0.5036917281
54	0.5023473701
55	0.501021343
56	0.5000896524
57	0.4985869858
58	0.4975552384
59	0.4965476864
60	0.4956831085
61	0.4932798498
62	0.4914901477
63	0.4904480929
64	0.4892026987
65	0.4880429801
66	0.4866562842
67	0.484842581
68	0.4839713668
69	0.4824266348
70	0.4814585786
71	0.480373217
72	0.4792484633
73	0.4782423486
74	0.4766428013
75	0.475574227
76	0.4742489944
77	0.4736880667
78	0.4729566544
79	0.4722903889
80	0.4713428402
81	0.4703491696
82	0.4697568516
83	0.4690413774
84	0.4681188264
85	0.4671860559
86	0.4663633582
87	0.465651346
88	0.4646921596
89	0.4639235595
90	0.4632595041
91	0.4623844642
92	0.4617209998
93	0.4603648568
94	0.459720392
95	0.4590191226
96	0.4580947946
97	0.4564912502
98	0.4558046944
99	0.4546734791
100	0.4538790609
101	0.4531849572
102	0.4525600693
103	0.4513945219
104	0.4505526674
105	0.4500317547
106	0.449214974
107	0.448092776
108	0.4468367736
109	0.4461767157
110	0.4454938769
111	0.4438809818
112	0.4430138801
113	0.4416533991
114	0.4407650866
115	0.4401524533
116	0.4392153174
117	0.4386721072
118	0.4379480135
119	0.436824556
120	0.4363887769
121	0.43573386
122	0.4349638344
123	0.4344155086
124	0.433686084
125	0.4330622891
126	0.4317806167
127	0.431087469
128	0.430293818
129	0.4297889503
130	0.4291333059
131	0.4283805661
132	0.427707538
133	0.4270045042
134	0.4264625718
135	0.4260234236
136	0.4255413689
137	0.4248579884
138	0.4242450522
139	0.4236232292
140	0.42266695
141	0.4218253687
142	0.4210816926
143	0.4206827231
144	0.4200072307
145	0.4193990541
146	0.4185108087
147	0.4179635414
148	0.4174020834
149	0.4168320886
150	0.4164926463
151	0.416008631
152	0.4156200943
153	0.4151554299
154	0.4142803126
155	0.4135124217
156	0.4131647482
157	0.412639138
158	0.4120407287
159	0.4113746872
160	0.4105713166
161	0.4102085235
162	0.4097847945
163	0.4092640112
164	0.4087075307
165	0.4079692693
166	0.4074125653
167	0.4070088348
168	0.4065534674
169	0.4057298701
170	0.4052084465
171	0.404526524
172	0.4041699752
173	0.4036447767
174	0.403288533
175	0.4028191439
176	0.4022274895
177	0.4017164044
178	0.4013131633
179	0.4008549391
180	0.4004377255
181	0.4000524482
182	0.3995173736
183	0.3989971442
184	0.3985101106
185	0.3980796154
186	0.3975218818
187	0.3972413104
188	0.3968601915
189	0.3960453932
190	0.3957204218
191	0.3952648946
192	0.39484033
193	0.394535388
194	0.3941141513
195	0.3933510297
196	0.3928574123
197	0.3923589015
198	0.3918936914
199	0.3914929595
