iter	Passed	Remaining
0	4	849
1	8	870
2	13	895
3	19	933
4	24	940
5	29	943
6	34	950
7	39	953
8	45	961
9	50	953
10	55	949
11	60	951
12	65	948
13	71	944
14	76	938
15	81	931
16	86	929
17	91	928
18	96	922
19	101	915
20	106	911
21	112	908
22	117	904
23	122	899
24	127	893
25	133	892
26	138	886
27	143	879
28	147	871
29	152	865
30	157	859
31	162	854
32	167	848
33	172	844
34	178	840
35	185	842
36	190	838
37	195	831
38	199	823
39	204	817
40	209	812
41	214	805
42	219	801
43	224	795
44	229	789
45	234	784
46	239	780
47	244	775
48	249	769
49	254	763
50	259	757
51	264	752
52	269	748
53	274	742
54	279	736
55	284	732
56	289	726
57	294	721
58	299	715
59	304	710
60	309	704
61	314	699
62	318	693
63	323	688
64	328	682
65	333	677
66	338	672
67	343	666
68	348	661
69	352	655
70	357	650
71	362	645
72	367	639
73	372	634
74	377	629
75	382	624
76	387	619
77	392	614
78	397	609
79	402	604
80	407	599
81	412	593
82	417	588
83	422	583
84	426	577
85	431	572
86	436	566
87	441	561
88	445	555
89	450	550
90	455	545
91	460	540
92	465	535
93	470	530
94	475	525
95	480	520
96	485	515
97	490	510
98	495	505
99	500	500
100	505	495
101	510	490
102	514	484
103	520	480
104	526	476
105	531	471
106	543	472
107	553	471
108	561	468
109	566	463
110	573	460
111	577	454
112	582	448
113	588	443
114	593	438
115	598	433
116	603	428
117	608	422
118	613	417
119	618	412
120	623	406
121	637	407
122	645	404
123	652	399
124	658	394
125	665	390
126	670	385
127	674	379
128	679	374
129	684	368
130	689	363
131	694	357
132	699	352
133	704	346
134	708	341
135	713	335
136	718	330
137	723	324
138	728	319
139	733	314
140	738	308
141	742	303
142	748	298
143	752	292
144	758	287
145	762	282
146	768	277
147	773	271
148	778	266
149	782	260
150	787	255
151	792	250
152	797	244
153	802	239
154	807	234
155	812	229
156	816	223
157	821	218
158	827	213
159	831	207
160	836	202
161	841	197
162	846	192
163	851	186
164	855	181
165	861	176
166	865	171
167	870	165
168	875	160
169	880	155
170	885	150
171	890	144
172	894	139
173	899	134
174	904	129
175	909	123
176	913	118
177	918	113
178	923	108
179	927	103
180	932	97
181	937	92
182	942	87
183	947	82
184	951	77
185	956	72
186	961	66
187	965	61
188	970	56
189	975	51
190	980	46
191	985	41
192	990	35
193	995	30
194	1000	25
195	1005	20
196	1010	15
197	1014	10
198	1020	5
199	1025	0
